Country,Region,Year,Project Title,Budget (USD),Expense (USD),SDGs,Signature Solution,SAMOA Pathway,Funding Sources
BRB,Caribbean,2022,THE COVID-19 PROGRAMME,729541,856110,,Other,,"Better Shelter,Caribbean Development Bank,Government of India,UNDP Funding Windows,United Nations Children'S Fund,United Nations development Fund For Women (Un Women),United Nations development Pro"
BRB,Caribbean,2021,ENGAGEMENT FACILITY-BRB,702018,428291,"Goal 1 - No Poverty,Goal 13 - Climate Action","Other,Enhance national prevention and recovery capacities for resilient societies","Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 2 - Climate Change,Goal 4 - Disaster risk reduction","Agencia Espanola de Cooperacion Internacional,UNDP Funding Windows,United Nations development Pro"
BRB,Caribbean,2022,ENGAGEMENT FACILITY-BRB,641060,500967,"Goal 1 - No Poverty,Goal 13 - Climate Action","Other,Enhance national prevention and recovery capacities for resilient societies","Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 2 - Climate Change,Goal 4 - Disaster risk reduction","Agencia Espanola de Cooperacion Internacional,UNDP Funding Windows,United Nations development Pro"
BRB,Caribbean,2021,Future Tourism Grant Support to MSME for Covid Recovery,700000,700000,,Other,,United Nations development Pro
BRB,Caribbean,2022,Future Tourism Grant Support to MSME for Covid Recovery,90600,40600,,Other,,United Nations development Pro
BRB,Caribbean,2022,Support to Criminal Justice Reform the Caribbean,300000,22461,,Other,,"MPTFO-Joint SDG Fund (previously known as The Joint Fund for the 2030 Agenda),UNDP Funding Windows"
BLZ,Caribbean,2017,Strengthening National Systems for United Nations Convention Against Corruption Implementation in Belize,226835,216633,"Goal 12 - Responsible consumption and production,Goal 16 - Peace, justice and strong institutions","Strengthen effective, inclusive and accountable governance","Goal 9 - Sustainable consumption and production,Goal 10 - Management of chemicals and waste, including hazardous waste,Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 13 - Social Development","UNDP Funding Windows,United Nations development Pro,US Department of State, Office to Monitor & Combat Tracing in persons."
BLZ,Caribbean,2018,Strengthening National Systems for United Nations Convention Against Corruption Implementation in Belize,106912,78007,"Goal 12 - Responsible consumption and production,Goal 16 - Peace, justice and strong institutions","Strengthen effective, inclusive and accountable governance","Goal 9 - Sustainable consumption and production,Goal 10 - Management of chemicals and waste, including hazardous waste,Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 13 - Social Development","UNDP Funding Windows,United Nations development Pro,US Department of State, Office to Monitor & Combat Tracing in persons."
BLZ,Caribbean,2019,Strengthening National Systems for United Nations Convention Against Corruption Implementation in Belize,283424,109678,"Goal 12 - Responsible consumption and production,Goal 16 - Peace, justice and strong institutions","Strengthen effective, inclusive and accountable governance","Goal 9 - Sustainable consumption and production,Goal 10 - Management of chemicals and waste, including hazardous waste,Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 13 - Social Development","UNDP Funding Windows,United Nations development Pro,US Department of State, Office to Monitor & Combat Tracing in persons."
BLZ,Caribbean,2020,Strengthening National Systems for United Nations Convention Against Corruption Implementation in Belize,130,1430,"Goal 12 - Responsible consumption and production,Goal 16 - Peace, justice and strong institutions","Strengthen effective, inclusive and accountable governance","Goal 9 - Sustainable consumption and production,Goal 10 - Management of chemicals and waste, including hazardous waste,Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 13 - Social Development","UNDP Funding Windows,United Nations development Pro,US Department of State, Office to Monitor & Combat Tracing in persons."
BLZ,Caribbean,2022,Strengthening National Systems for United Nations Convention Against Corruption Implementation in Belize,3100,1522,"Goal 12 - Responsible consumption and production,Goal 16 - Peace, justice and strong institutions","Strengthen effective, inclusive and accountable governance","Goal 9 - Sustainable consumption and production,Goal 10 - Management of chemicals and waste, including hazardous waste,Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 13 - Social Development","UNDP Funding Windows,United Nations development Pro,US Department of State, Office to Monitor & Combat Tracing in persons."
BLZ,Caribbean,2018,Referendum on Border Dispute,614106,274079,"Goal 16 - Peace, justice and strong institutions",Promote nature-based solutions for a sustainable planet,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 13 - Social Development","Government of United Kingdom,United Nations development Pro,US Department of State, Office to Monitor & Combat Tracing in persons."
BLZ,Caribbean,2019,Referendum on Border Dispute,658330,604737,"Goal 16 - Peace, justice and strong institutions",Promote nature-based solutions for a sustainable planet,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 13 - Social Development","Government of United Kingdom,United Nations development Pro,US Department of State, Office to Monitor & Combat Tracing in persons."
BLZ,Caribbean,2020,Referendum on Border Dispute,721,360,"Goal 16 - Peace, justice and strong institutions",Promote nature-based solutions for a sustainable planet,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 13 - Social Development","Government of United Kingdom,United Nations development Pro,US Department of State, Office to Monitor & Combat Tracing in persons."
BLZ,Caribbean,2021,Referendum on Border Dispute,11505,7017,"Goal 16 - Peace, justice and strong institutions",Promote nature-based solutions for a sustainable planet,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 13 - Social Development","Government of United Kingdom,United Nations development Pro,US Department of State, Office to Monitor & Combat Tracing in persons."
BLZ,Caribbean,2022,Referendum on Border Dispute,1,-20785,"Goal 16 - Peace, justice and strong institutions",Promote nature-based solutions for a sustainable planet,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 13 - Social Development","Government of United Kingdom,United Nations development Pro,US Department of State, Office to Monitor & Combat Tracing in persons."
BLZ,Caribbean,2019,Enabling Gender-Responsive Disaster Recovery,23847,23847,"Goal 1 - No Poverty,Goal 11 - Sustainable cities and communities,Goal 13 - Climate Action",Keeping people out of poverty,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 4 - Disaster risk reduction,Goal 8 - Sustainable transportation,Goal 10 - Management of chemicals and waste, including hazardous waste,Goal 2 - Climate Change,Goal 4 - Disaster risk reduction","Department For International development (DFID),Department of Foreign Affairs, Trade And development,United Nations development Pro"
BLZ,Caribbean,2020,Enabling Gender-Responsive Disaster Recovery,398834,341157,"Goal 1 - No Poverty,Goal 11 - Sustainable cities and communities,Goal 13 - Climate Action",Keeping people out of poverty,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 4 - Disaster risk reduction,Goal 8 - Sustainable transportation,Goal 10 - Management of chemicals and waste, including hazardous waste,Goal 2 - Climate Change,Goal 4 - Disaster risk reduction","Department For International development (DFID),Department of Foreign Affairs, Trade And development,United Nations development Pro"
BLZ,Caribbean,2021,Enabling Gender-Responsive Disaster Recovery,647703,494221,"Goal 1 - No Poverty,Goal 11 - Sustainable cities and communities,Goal 13 - Climate Action",Keeping people out of poverty,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 4 - Disaster risk reduction,Goal 8 - Sustainable transportation,Goal 10 - Management of chemicals and waste, including hazardous waste,Goal 2 - Climate Change,Goal 4 - Disaster risk reduction","Department For International development (DFID),Department of Foreign Affairs, Trade And development,United Nations development Pro"
BLZ,Caribbean,2022,Enabling Gender-Responsive Disaster Recovery,548422,325364,"Goal 1 - No Poverty,Goal 11 - Sustainable cities and communities,Goal 13 - Climate Action",Keeping people out of poverty,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 4 - Disaster risk reduction,Goal 8 - Sustainable transportation,Goal 10 - Management of chemicals and waste, including hazardous waste,Goal 2 - Climate Change,Goal 4 - Disaster risk reduction","Department For International development (DFID),Department of Foreign Affairs, Trade And development,United Nations development Pro"
BLZ,Caribbean,2020,Resilience HIV/TB Response Belize,769735,665512,Goal 3 - Good Health and Well-Being,"Other,Keeping people out of poverty",Goal 11 - Health and non-communicable diseases,"Global Fund To Fight Aids, Tuberculosis,United Nations development Pro"
BLZ,Caribbean,2021,Resilience HIV/TB Response Belize,1312624,845673,Goal 3 - Good Health and Well-Being,"Other,Keeping people out of poverty",Goal 11 - Health and non-communicable diseases,"Global Fund To Fight Aids, Tuberculosis,United Nations development Pro"
BLZ,Caribbean,2022,Resilience HIV/TB Response Belize,479236,481043,Goal 3 - Good Health and Well-Being,"Other,Keeping people out of poverty",Goal 11 - Health and non-communicable diseases,"Global Fund To Fight Aids, Tuberculosis,United Nations development Pro"
BLZ,Caribbean,2020,Spotlight Initiative,379961,302310,"Goal 1 - No Poverty,Goal 16 - Peace, justice and strong institutions,Goal 5 - Gender Equality",Keeping people out of poverty,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 13 - Social Development,Goal 13 - Social Development","MPTFO-Spotlight Initiative Fund (SIF00),United Nations development Pro"
BLZ,Caribbean,2021,Spotlight Initiative,556703,504048,"Goal 1 - No Poverty,Goal 16 - Peace, justice and strong institutions,Goal 5 - Gender Equality",Keeping people out of poverty,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 13 - Social Development,Goal 13 - Social Development","MPTFO-Spotlight Initiative Fund (SIF00),United Nations development Pro"
BLZ,Caribbean,2022,Spotlight Initiative,79049,92765,"Goal 1 - No Poverty,Goal 16 - Peace, justice and strong institutions,Goal 5 - Gender Equality",Keeping people out of poverty,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 13 - Social Development,Goal 13 - Social Development","MPTFO-Spotlight Initiative Fund (SIF00),United Nations development Pro"
BLZ,Caribbean,2020,UNDP/OAK Re-granting Partnership,102940,98955,"Goal 1 - No Poverty,Goal 11 - Sustainable cities and communities",Keeping people out of poverty,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 4 - Disaster risk reduction,Goal 8 - Sustainable transportation,Goal 10 - Management of chemicals and waste, including hazardous waste","Oak Foundation,United Nations development Pro"
BLZ,Caribbean,2021,UNDP/OAK Re-granting Partnership,2065,5883,"Goal 1 - No Poverty,Goal 11 - Sustainable cities and communities",Keeping people out of poverty,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 4 - Disaster risk reduction,Goal 8 - Sustainable transportation,Goal 10 - Management of chemicals and waste, including hazardous waste","Oak Foundation,United Nations development Pro"
BLZ,Caribbean,2022,UNDP/OAK Re-granting Partnership,4294,165,"Goal 1 - No Poverty,Goal 11 - Sustainable cities and communities",Keeping people out of poverty,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 4 - Disaster risk reduction,Goal 8 - Sustainable transportation,Goal 10 - Management of chemicals and waste, including hazardous waste","Oak Foundation,United Nations development Pro"
BLZ,Caribbean,2020,Engagement Facility,24000,11050,"Goal 16 - Peace, justice and strong institutions,Goal 8 - Decent Work and Economic Growth","Other,Enhance national prevention and recovery capacities for resilient societies","Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 13 - Social Development,Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all",United Nations development Pro
BLZ,Caribbean,2021,Engagement Facility,117000,111691,"Goal 16 - Peace, justice and strong institutions,Goal 8 - Decent Work and Economic Growth","Other,Enhance national prevention and recovery capacities for resilient societies","Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 13 - Social Development,Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all",United Nations development Pro
BLZ,Caribbean,2022,Engagement Facility,5000,1223,"Goal 16 - Peace, justice and strong institutions,Goal 8 - Decent Work and Economic Growth","Other,Enhance national prevention and recovery capacities for resilient societies","Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 13 - Social Development,Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all",United Nations development Pro
BLZ,Caribbean,2021,Building Resilient MSMEs - Accelerating Digitization,210437,189021,"Goal 1 - No Poverty,Goal 5 - Gender Equality",Other,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 13 - Social Development",United Nations development Pro
BLZ,Caribbean,2022,Building Resilient MSMEs - Accelerating Digitization,170979,124161,"Goal 1 - No Poverty,Goal 5 - Gender Equality",Other,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 13 - Social Development",United Nations development Pro
BLZ,Caribbean,2021,Enhancing jaguar corridors and strongholds,20001,20000,"Goal 12 - Responsible consumption and production,Goal 14 - Life Below Water,Goal 15 - Life on Land","Other,Promote nature-based solutions for a sustainable planet","Goal 9 - Sustainable consumption and production,Goal 10 - Management of chemicals and waste, including hazardous waste,Goal 5 - Oceans and seas,Goal 10 - Management of chemicals and waste, including hazardous waste,Goal 14 - Biodiversity,Goal 10 - Management of chemicals and waste, including hazardous waste,Goal 15 - Invasive alien species","Global Environment Fund Truste,Government of France,United Nations development Pro"
BLZ,Caribbean,2022,Enhancing jaguar corridors and strongholds,478750,240397,"Goal 12 - Responsible consumption and production,Goal 14 - Life Below Water,Goal 15 - Life on Land","Other,Promote nature-based solutions for a sustainable planet","Goal 9 - Sustainable consumption and production,Goal 10 - Management of chemicals and waste, including hazardous waste,Goal 5 - Oceans and seas,Goal 10 - Management of chemicals and waste, including hazardous waste,Goal 14 - Biodiversity,Goal 10 - Management of chemicals and waste, including hazardous waste,Goal 15 - Invasive alien species","Global Environment Fund Truste,Government of France,United Nations development Pro"
BLZ,Caribbean,2022,Climate Promise: From Pledge to Impact,383766,58784,,Other,,"Federal Ministry For The Environment, Nature Convservation And Nuclear Safety.,United Nations development Pro"
BLZ,Caribbean,2022,Digital Transformation Program,232195,14649,"Goal 1 - No Poverty,Goal 16 - Peace, justice and strong institutions,Goal 17 - Partnership for the goals",Other,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 13 - Social Development,Goal 16 - Means of implementation, including partnerships","Government of Belize,Government of Cayman Islands,UNDP Funding Windows,United Nations development Pro"
BLZ,Caribbean,2022,Strengthening Access to Justice in Belize,100000,66276,"Goal 16 - Peace, justice and strong institutions",Other,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 13 - Social Development","Swiss Agency For development And Cooperation (SDC),United Nations development Pro"
BLZ,Caribbean,2022,Integrated management of production landscapes to delive,20000,14000,,Other,,United Nations development Pro
CPV,AIS,2012,Support to Program Execution,26000,18611,,Other,,"Government of Austria,Government of Portugal,UNDP as Administrative Agent For A Joint Programme Pass Through Arrangement,United Nations development Pro,United Nations High Commissioner For Human Rights (UNHCHR)"
CPV,AIS,2013,Support to Program Execution,20000,18736,,Other,,"Government of Austria,Government of Portugal,UNDP as Administrative Agent For A Joint Programme Pass Through Arrangement,United Nations development Pro,United Nations High Commissioner For Human Rights (UNHCHR)"
CPV,AIS,2014,Support to Program Execution,10761,4525,,Other,,"Government of Austria,Government of Portugal,UNDP as Administrative Agent For A Joint Programme Pass Through Arrangement,United Nations development Pro,United Nations High Commissioner For Human Rights (UNHCHR)"
CPV,AIS,2015,Support to Program Execution,11871,11858,,Other,,"Government of Austria,Government of Portugal,UNDP as Administrative Agent For A Joint Programme Pass Through Arrangement,United Nations development Pro,United Nations High Commissioner For Human Rights (UNHCHR)"
CPV,AIS,2016,Support to Program Execution,122461,122460,,Other,,"Government of Austria,Government of Portugal,UNDP as Administrative Agent For A Joint Programme Pass Through Arrangement,United Nations development Pro,United Nations High Commissioner For Human Rights (UNHCHR)"
CPV,AIS,2017,Support to Program Execution,64985,63779,,Other,,"Government of Austria,Government of Portugal,UNDP as Administrative Agent For A Joint Programme Pass Through Arrangement,United Nations development Pro,United Nations High Commissioner For Human Rights (UNHCHR)"
CPV,AIS,2018,Support to Program Execution,49941,50004,,Other,,"Government of Austria,Government of Portugal,UNDP as Administrative Agent For A Joint Programme Pass Through Arrangement,United Nations development Pro,United Nations High Commissioner For Human Rights (UNHCHR)"
CPV,AIS,2019,Support to Program Execution,90710,87073,,Other,,"Government of Austria,Government of Portugal,UNDP as Administrative Agent For A Joint Programme Pass Through Arrangement,United Nations development Pro,United Nations High Commissioner For Human Rights (UNHCHR)"
CPV,AIS,2020,Support to Program Execution,138846,138675,,Other,,"Government of Austria,Government of Portugal,UNDP as Administrative Agent For A Joint Programme Pass Through Arrangement,United Nations development Pro,United Nations High Commissioner For Human Rights (UNHCHR)"
CPV,AIS,2021,Support to Program Execution,66379,73277,,Other,,"Government of Austria,Government of Portugal,UNDP as Administrative Agent For A Joint Programme Pass Through Arrangement,United Nations development Pro,United Nations High Commissioner For Human Rights (UNHCHR)"
CPV,AIS,2022,Support to Program Execution,193522,168154,,Other,,"Government of Austria,Government of Portugal,UNDP as Administrative Agent For A Joint Programme Pass Through Arrangement,United Nations development Pro,United Nations High Commissioner For Human Rights (UNHCHR)"
CPV,AIS,2016,Mainstreaming biodiversity conservation into the tourism,401685,229618,"Goal 13 - Climate Action,Goal 14 - Life Below Water",Promote nature-based solutions for a sustainable planet,"Goal 2 - Climate Change,Goal 4 - Disaster risk reduction,Goal 5 - Oceans and seas,Goal 10 - Management of chemicals and waste, including hazardous waste,Goal 14 - Biodiversity","Global Environment Fund Truste,Government of Cape Verde,United Nations development Pro"
CPV,AIS,2017,Mainstreaming biodiversity conservation into the tourism,466768,265738,"Goal 13 - Climate Action,Goal 14 - Life Below Water",Promote nature-based solutions for a sustainable planet,"Goal 2 - Climate Change,Goal 4 - Disaster risk reduction,Goal 5 - Oceans and seas,Goal 10 - Management of chemicals and waste, including hazardous waste,Goal 14 - Biodiversity","Global Environment Fund Truste,Government of Cape Verde,United Nations development Pro"
