SIDS,Budget_letter,Budget,Project,SDG,Funding,Year
Dominican Republic,1M,1000000,Modernización y Fortalecimiento del SIUBEN,1,Donor Countries,2022
Dominican Republic,355k,355000,Recuperacion socioeconomica del turismo y trabajo,1,Donor Countries,2022
Dominican Republic,175k,175000,Dialogo Binacional,1,Donor Countries,2022
Dominican Republic,1M,1000000,Fortalecimiento Estratégico Ayuntamiento SD Este,1,Donor Countries,2022
Dominican Republic,14M,14000000,Transformación INABIE,1,Donor Countries,2022
Dominican Republic,10M,10000000,Fortalecimiento Institucional Ministerio de Educación,1,Donor Countries,2022
Fiji,666k,666000,Markets for Change,1,Donor Countries,2022
Fiji,104k,104000,SDG Localization,1,Donor Countries,2022
Fiji,14k,14000,Pacific Financial Inclusion Programme,1,Donor Countries,2022
Fiji,560k,560000,COVID-19 Response support in the Pacific,1,Donor Countries,2022
Fiji,515k,515000,Spotlight Initiative,1,Donor Countries,2022
Fiji,1M,1000000,Pacific Insurance and Climate Adaptation Programme,1,Donor Countries,2022
Fiji,2M,2000000,Pacific Digital Economy Programme,1,Donor Countries,2022
Guinea-Bissau,1,1,Climate Change Adaptation,1,Donor Countries,2022
Guinea-Bissau,2,2,EU - Renforcement des Capacités en Politiques et Aide,1,Donor Countries,2022
Guinea-Bissau,90k,90000,SD-Strengthening National PA in Guinea-Bissau/GEF,1,Donor Countries,2022
Guinea-Bissau,599k,599000,HC – NFM2 Malaria,1,Donor Countries,2022
Guinea-Bissau,90k,90000,GC - Enhancing Capacities National Volunteer Committee,1,Donor Countries,2022
Guinea-Bissau,214k,214000,HC - UNDP Guinea Bissau Early Response to COVID-19,1,Donor Countries,2022
Guinea-Bissau,1M,1000000,HC - JSB Limiting the Impact of COVID-19 Pandemic,1,Donor Countries,2022
Guinea-Bissau,100k,100000,EU-Financial Inclusion,1,Donor Countries,2022
Guinea-Bissau,750k,750000,EU - Blue economy as a catalyst to green recovery,1,Donor Countries,2022
Guinea-Bissau,534k,534000,EU Bridging gaps in Startup/Innovation ecosystem in GB,1,Donor Countries,2022
Guinea-Bissau,500k,500000,EU-GNB-2030 Building Forward Better in GB,1,Donor Countries,2022
Guinea-Bissau,76k,76000,HC - Social Protection - promotion,1,Donor Countries,2022
Guyana,6M,6000000,AMERINDIAN LAND TITLING PROJECT,1,Donor Countries,2022
Guyana,7M,7000000,"ICT Access & E-Services for Hinterland, Poor and Remote",1,Donor Countries,2022
Guyana,74k,74000,Hydrochlorofluorocarbons (HCFC) Phase-Out Management Plan Stage II,1,Donor Countries,2022
Haiti,3M,3000000,Programme de relèvement post-Matthew,1,Donor Countries,2022
Haiti,41k,41000,Assistance Technique pour la gestion intégrée des marché,1,Donor Countries,2022
Haiti,3M,3000000,Appui Gouvernance Locale et Developpement Territorial,1,Donor Countries,2022
Haiti,490k,490000,MICROENTERPRISE CREATION IN POOR AREAS OF PORT-AU-PRINCE,1,Donor Countries,2022
Haiti,404k,404000,Reponse a la Crise COVID19 en Haiti,1,Donor Countries,2022
Haiti,706k,706000,Installation Pompes Solaires,1,Donor Countries,2022
Haiti,2M,2000000,Mainstreaming the National Social Protection Policy,1,Donor Countries,2022
Haiti,448k,448000,INITIATION PLAN-POST SEISME,1,Donor Countries,2022
Haiti,144k,144000,Services intégrés de dév des opportunités économiques,1,Donor Countries,2022
Haiti,42k,42000,PPG Biodiversite GEF7,1,Donor Countries,2022
Haiti,822k,822000,Renforcement des capacites de prevention des risques,1,Donor Countries,2022
Jamaica,518k,518000,EnGender - Jamaica,1,Donor Countries,2022
Jamaica,86k,86000,Engagement Facility - Bahamas,1,Donor Countries,2022
Jamaica,135k,135000,Amplifying Youth Voice & Action,1,Donor Countries,2022
Jamaica,526k,526000,Abaco Centre,1,Donor Countries,2022
Maldives,182k,182000,Operationalizing Integrated National Financing Framework,1,Donor Countries,2022
Maldives,171k,171000,Reimagining Tourism in the Maldives,1,Donor Countries,2022
Maldives,205k,205000,Sustainable DRR/CCA and Mitigation in Maldives,1,Donor Countries,2022
Maldives,1M,1000000,Integrated Governance Programme III (IGP III),1,Donor Countries,2022
Maldives,452k,452000,JSB - Net Zero Emissions,1,Donor Countries,2022
Mauritius,28k,28000,Inclusive Development and Public Sector Efficiency,1,Donor Countries,2022
Mauritius,546k,546000,COVID-19 MAURITIUS,1,Donor Countries,2022
"Micronesia, Federated States of",367k,367000,FSM Strengthening Gender Machinery,1,Donor Countries,2022
Palau,170k,170000,PW Local Governance Strengthning,1,Donor Countries,2022
Papua New Guinea,1M,1000000,Responding to Gender Based Violence During COVID-19,1,Donor Countries,2022
Samoa,46,46,Samoa OneUnitedNation Youth Employment Programme(1UNYEP,1,Donor Countries,2022
Samoa,707k,707000,Samoa Social Protection,1,Donor Countries,2022
Samoa,559k,559000,SDG FINANCING - COMPONENT 1,1,Donor Countries,2022
Samoa,610k,610000,COVID-19 Prep & Recovery: Economic Diversification,1,Donor Countries,2022
Sao Tome and Principe,36k,36000,Country Coordination mechanism,1,Donor Countries,2022
Sao Tome and Principe,234k,234000,PIMS4602 - RENEWABLE ENERGY,1,Donor Countries,2022
Sao Tome and Principe,131k,131000,Young Social Entrepreneurship,1,Donor Countries,2022
Sao Tome and Principe,207k,207000,Delivering Climate Promise in STP| NDC Support Programme,1,Donor Countries,2022
Sao Tome and Principe,750k,750000,Export Value Chain,1,Donor Countries,2022
Seychelles,220k,220000,Ecosystem Based Adaptation to Climate Change in Seychell,1,Donor Countries,2022
Seychelles,1M,1000000,Seychelles Ridge to Reef Project,1,Donor Countries,2022
Seychelles,369k,369000,Facilitating Recovery through Digital Solutions,1,Donor Countries,2022
Solomon Islands,621k,621000,SOI: Advancing National Development Agenda and SDGs,1,Donor Countries,2022
Solomon Islands,872,872,PPG _SOI_Biodiversity and Land Degradation,1,Donor Countries,2022
Suriname,15k,15000,Development Effectiveness Project,1,Donor Countries,2022
Suriname,140k,140000,Mitigating Impact of COVID-19 on Indigenous and Tribal P,1,Donor Countries,2022
Suriname,103k,103000,Engagement Facility Social Development,1,Donor Countries,2022
Suriname,75k,75000,"Inclusion, Building Resilience and Improving Livelihoods",1,Donor Countries,2022
Timor-Leste,476,476,Leveraging Electoral Assistance for Regionalized Nation,1,Donor Countries,2022
Timor-Leste,271k,271000,Accelerator Lab - Timor-Leste,1,Donor Countries,2022
Timor-Leste,622k,622000,Implementation of the Arafura and timor Seas Regional an,1,Donor Countries,2022
Timor-Leste,6k,6000,Support to the Gov of Timor-Leste responding to COVID-19,1,Donor Countries,2022
Timor-Leste,341k,341000,Integrated National Financing Framework (INFF) and Finan,1,Donor Countries,2022
Timor-Leste,95k,95000,Supporting Flood Response and Recovery project,1,Donor Countries,2022
Trinidad and Tobago,975k,975000,Trinidad& Tobago Healthcare Capacity Building Initiative,1,Donor Countries,2022
Trinidad and Tobago,28k,28000,Multi-Dimensional Poverty in Trinidad & Tobago,1,Donor Countries,2022
Trinidad and Tobago,166k,166000,T&T Social Protection Support (RFF),1,Donor Countries,2022
Comoros,180k,,PIMS 4926 Enhancing adaptive capacity for increased reli,2,Donor Countries,2022
Cuba,398k,,"APOYO AL FORTALECIMIENTO DE LAS CAPACIDADES INSTITUCIONALES PARA LA GESTION ESTRATEGICA DEL DESARROLLO LOCAL, INSERTANDOSE ESTRATEGICAMENTE EN LA IMPLEMENTACION DE LA PLATAFORMA ARTICULADA PARA EL DESARROLLO INTEGRAL TERRITORIAL EN CUBA (PADIT)",2,Donor Countries,2022
Cuba,1M,,Fortalecimiento de las cadenas de frutales en Cuba.,2,Donor Countries,2022
Cuba,2M,,ALASS Autoabastecimiento local para una alimentación sos,2,Donor Countries,2022
Cuba,9k,,Igualdad Género Gestión Calidad Alimentaria,2,Donor Countries,2022
Dominican Republic,4M,,Fortalecimiento institucional del INAIPI,2,Donor Countries,2022
Maldives,757k,,Project for Developing Sustainable Agricultural Economy,2,Donor Countries,2022
Belize,479k,,Resilience HIV/TB Response Belize,3,Donor Countries,2022
Cuba,305k,,Integrated National Financing Framework for SDGs in Cuba,3,Donor Countries,2022
Cuba,40k,,Fortalecimiento del MCP VIH,3,Donor Countries,2022
Cuba,16M,,Servicios diferenciados de VIH para poblaciones clave,3,Donor Countries,2022
Cuba,28k,,Kits diagnóstico COVID-19,3,Donor Countries,2022
Cuba,100k,,Industria Biofarmaceutica,3,Donor Countries,2022
Dominican Republic,200,,Fortalecimiento Salud Publica,3,Donor Countries,2022
Fiji,2M,,Climate Security in the Pacific,3,Donor Countries,2022
Guinea-Bissau,599k,,HC – NFM2 Malaria,3,Donor Countries,2022
Guinea-Bissau,9M,,HC - NFM3 Malaria,3,Donor Countries,2022
Guinea-Bissau,1M,,HC-COVID-19 Health Proc_WB2,3,Donor Countries,2022
Haiti,404k,,Reponse a la Crise COVID19 en Haiti,3,Donor Countries,2022
Mauritius,759k,,E-Health Implementation,3,Donor Countries,2022
Sao Tome and Principe,36k,,Country Coordination mechanism,3,Donor Countries,2022
Sao Tome and Principe,100,,"HIV, TB, Malaria and building resilient Health",3,Donor Countries,2022
Sao Tome and Principe,59k,,Health Information System and youth entrepreneurship,3,Donor Countries,2022
Sao Tome and Principe,57k,,STP COVID19 RESPONSE PLAN,3,Donor Countries,2022
Sao Tome and Principe,2M,,Support MoH implement Global Fund,3,Donor Countries,2022
Sao Tome and Principe,341k,,University of California Malaria Initiative,3,Donor Countries,2022
Timor-Leste,2M,,Support to Institutional Development,3,Donor Countries,2022
Timor-Leste,6k,,Support to the Gov of Timor-Leste responding to COVID-19,3,Donor Countries,2022
Timor-Leste,2M,,"Support Gov TL in procurement of COVID health, Phase II",3,Donor Countries,2022
Bahrain,19k,,Support to King Hamad Award,4,Donor Countries,2022
Cuba,398k,,"APOYO AL FORTALECIMIENTO DE LAS CAPACIDADES INSTITUCIONALES PARA LA GESTION ESTRATEGICA DEL DESARROLLO LOCAL, INSERTANDOSE ESTRATEGICAMENTE EN LA IMPLEMENTACION DE LA PLATAFORMA ARTICULADA PARA EL DESARROLLO INTEGRAL TERRITORIAL EN CUBA (PADIT)",4,Donor Countries,2022
Dominican Republic,167k,,"Incremento de la calidad y eficiencia de los servicios sociales, salud y nutricion, ofrecidos a los estudiantes por el Instituto Nacional de Bienestar Estudiantil (INABIE)",4,Donor Countries,2022
Dominican Republic,600k,,Eficiencia y Calidad Formacion Docente,4,Donor Countries,2022
Dominican Republic,382k,,Apoyo a la mejora de la evaluación educativa,4,Donor Countries,2022
Dominican Republic,196k,,Competencias Tecnologicas,4,Donor Countries,2022
Dominican Republic,58k,,Inclusión social de las personas con discapacidad,4,Donor Countries,2022
Dominican Republic,4M,,Fortalecimiento institucional del INAIPI,4,Donor Countries,2022
Dominican Republic,10M,,Fortalecimiento Institucional Ministerio de Educación,4,Donor Countries,2022
Haiti,3M,,Programme de relèvement post-Matthew,4,Donor Countries,2022
Haiti,41k,,Assistance Technique pour la gestion intégrée des marché,4,Donor Countries,2022
Haiti,490k,,MICROENTERPRISE CREATION IN POOR AREAS OF PORT-AU-PRINCE,4,Donor Countries,2022
Haiti,144k,,Services intégrés de dév des opportunités économiques,4,Donor Countries,2022
Samoa,610k,,COVID-19 Prep & Recovery: Economic Diversification,4,Donor Countries,2022
Timor-Leste,371k,,Supporting Entrepreneurship and Employment for Women and,4,Donor Countries,2022
Timor-Leste,466k,,Hamutuk ba Igualdade,4,Donor Countries,2022
Bahrain,64k,,Gender and Economic Policy Management Initiative - Arab,5,Donor Countries,2022
Belize,79k,,Spotlight Initiative,5,Donor Countries,2022
Belize,171k,,Building Resilient MSMEs - Accelerating Digitization,5,Donor Countries,2022
Cabo Verde,478k,,STRENGTHENING GOVERNANCE IN CABO VERDE,5,Donor Countries,2022
Cabo Verde,101k,,STRENGTHENING EDUCATIONAL QUALITY,5,Donor Countries,2022
Cabo Verde,15k,,JOINT OFFICE COMMUNICATION AND VISIBILITY,5,Donor Countries,2022
Cuba,136k,,FORTALECIENDO A LOS GOBIERNOS TERRITORIALES Y ARTICULANDO LA MATRIZ DE ACTORES PARA GESTIONAR EL DESARROLLO SOCIO-ECONÓMICO DEL ÁMBITO LOCAL.,5,Donor Countries,2022
Cuba,324k,,PADIT Las Tunas,5,Donor Countries,2022
Dominican Republic,68k,,Sellos de Igualdad de Genero,5,Donor Countries,2022
Dominican Republic,41k,,Dialogo Politico Genero,5,Donor Countries,2022
Dominican Republic,58k,,Inclusión social de las personas con discapacidad,5,Donor Countries,2022
Dominican Republic,176k,,Recuperación socioeconómica de hogares y MIPYMES,5,Donor Countries,2022
Dominican Republic,355k,,Recuperacion socioeconomica del turismo y trabajo,5,Donor Countries,2022
Dominican Republic,1M,,Fortalecimiento Estratégico Ayuntamiento SD Este,5,Donor Countries,2022
Dominican Republic,48k,,Apoyo Estrategico MMUJER,5,Donor Countries,2022
Fiji,515k,,Spotlight Initiative,5,Donor Countries,2022
Grenada,180k,,Grenada Spotlight Initiative,5,Donor Countries,2022
Guinea-Bissau,2,,EU - Renforcement des Capacités en Politiques et Aide,5,Donor Countries,2022
Guinea-Bissau,214k,,HC - UNDP Guinea Bissau Early Response to COVID-19,5,Donor Countries,2022
Guinea-Bissau,537k,,GC - Creating Safe & Empowering Public Spaces with Women,5,Donor Countries,2022
Haiti,3M,,Appui Gouvernance Locale et Developpement Territorial,5,Donor Countries,2022
Haiti,1M,,Electrification Rurale et Autonomisation des Femmes,5,Donor Countries,2022
Haiti,11k,,Promotion de la cohésion sociale à Jérémie,5,Donor Countries,2022
Haiti,28M,,Appui au Processus Électoral en Haïti (PAPEH),5,Donor Countries,2022
Haiti,515k,,Réduction de la violence communautaire à Martissant et L,5,Donor Countries,2022
Haiti,700k,,Renforcement Dialogue Haiti et la Republique Dominicaine,5,Donor Countries,2022
Jamaica,581k,,Spotlight Initiative- Jamaica,5,Donor Countries,2022
Maldives,829k,,Integrated Governance Programme II,5,Donor Countries,2022
Maldives,1M,,Integrated Governance Programme III (IGP III),5,Donor Countries,2022
Mauritius,80k,,Supporting Recovery through a Green Economy (SURGE) Proj,5,Donor Countries,2022
Papua New Guinea,297k,,Women Make the Change,5,Donor Countries,2022
Papua New Guinea,1M,,Responding to Gender Based Violence During COVID-19,5,Donor Countries,2022
Papua New Guinea,159k,,Spotlight-RCO,5,Donor Countries,2022
Samoa,142k,,Accelerator Lab - Samoa MCO,5,Donor Countries,2022
Sao Tome and Principe,2M,,Modernization of the Justice System,5,Donor Countries,2022
Solomon Islands,949k,,SOI Transparency and Accountability for Solomon Islands,5,Donor Countries,2022
Timor-Leste,476,,Leveraging Electoral Assistance for Regionalized Nation,5,Donor Countries,2022
Timor-Leste,1M,,Spotlight Initiative in Timor-Leste – A Joint EU-UN Init,5,Donor Countries,2022
Timor-Leste,466k,,Hamutuk ba Igualdade,5,Donor Countries,2022
Trinidad and Tobago,570k,,Trinidad & Tobago Spotlight Initiative,5,Donor Countries,2022
Comoros,10M,,Ensuring climate resilient water Comoros -PIMS-5740-GCF,6,Donor Countries,2022
Maldives,829k,,Integrated Governance Programme II,6,Donor Countries,2022
Maldives,72k,,Implementing Sustainable Low & non-Chemical Development,6,Donor Countries,2022
Antigua and Barbuda,909k,,B-Envelope after Irma hurricane. Housing Support to Barb,7,Donor Countries,2022
Bahrain,398k,,Bahrain Unit for Sustainable Energy,7,Donor Countries,2022
Barbados,241k,,Engagement Facility,7,Donor Countries,2022
Barbados,4M,,"Enabling Gender-Responsive Disaster Recovery, Climate an",7,Donor Countries,2022
Barbados,21k,,Blue Economy Finance for SIDS - SDG Fund Component 2,7,Donor Countries,2022
Comoros,241k,,COM-Direct Project Cost (DPC),7,Donor Countries,2022
Comoros,515k,,PIMS 5484 : Sustainable development of Comoros Islands,7,Donor Countries,2022
Cuba,472k,,BIOENERGIA - CLEAN ENERGY TECHNOLOGIES FOR THE RURAL AREAS IN CUBA,7,Donor Countries,2022
Cuba,1M,,Resiliencia Energetica post Irma,7,Donor Countries,2022
Cuba,1M,,Low-carbon transport systems in Havana (Medium size),7,Donor Countries,2022
Cuba,781k,,FRELOCAL - FUENTES RENOVABLES DE ENERGIA - DES LOCAL,7,Donor Countries,2022
Cuba,9k,,Igualdad Género Gestión Calidad Alimentaria,7,Donor Countries,2022
Cuba,337k,,MUNICIPIO MARTI ENERGIA SOSTENIBLE,7,Donor Countries,2022
Dominican Republic,88k,,Mejor calidad de vida en El Seibo,7,Donor Countries,2022
Guinea-Bissau,1,,Climate Change Adaptation,7,Donor Countries,2022
Guyana,58k,,Mainstreaming Low-emission Energy Technologies to build,7,Donor Countries,2022
Haiti,1M,,Electrification Rurale et Autonomisation des Femmes,7,Donor Countries,2022
Mauritius,3M,,GCF - Accelerating Low Carbon,7,Donor Countries,2022
Niue,985k,,Accelerating RE & EE in Niue (AREAN),7,Donor Countries,2022
Papua New Guinea,2,,WB FCPF REDD+ Readiness II,7,Donor Countries,2022
Papua New Guinea,574k,,PIMS5569 Renewable Energy & Energy Efficiency,7,Donor Countries,2022
Papua New Guinea,1,,PIMS6394 PPG Integrated Landuse Planning in New Britain,7,Donor Countries,2022
Samoa,1M,,IMPRESS_Renewable Energy (Full Size),7,Donor Countries,2022
Sao Tome and Principe,234k,,PIMS4602 - RENEWABLE ENERGY,7,Donor Countries,2022
Sao Tome and Principe,50k,,PPG African Minigrids Program STP,7,Donor Countries,2022
Solomon Islands,911k,,SOI: Rural Electrification (SPIRES),7,Donor Countries,2022
Timor-Leste,2M,,Strength Integral Local Development,7,Donor Countries,2022
Timor-Leste,2M,,The ACCESS project,7,Donor Countries,2022
Trinidad and Tobago,1M,,GEF6- Energy Efficiency in RAC,7,Donor Countries,2022
Bahrain,52k,,State of Arab Cities Report 2020,8,Donor Countries,2022
Belize,5k,,Engagement Facility,8,Donor Countries,2022
Cuba,343k,,PROCESO DE FORTALECIMIENTO DE CAPACIDADES DEL GOBIERNO DE ARTEMISA,8,Donor Countries,2022
Cuba,122k,,PADIT HOLGUIN,8,Donor Countries,2022
Cuba,3M,,GESTION DEL CONOCIMIENTO Y FORTALECIMIENTO DE CAPACIDADES PARA LA IMPLEMENTACION DE LA PLATAFORMA ARTICULADA PARA EL DESARROLLO TERRITORIAL INTEGRAL,8,Donor Countries,2022
Cuba,398k,,"APOYO AL FORTALECIMIENTO DE LAS CAPACIDADES INSTITUCIONALES PARA LA GESTION ESTRATEGICA DEL DESARROLLO LOCAL, INSERTANDOSE ESTRATEGICAMENTE EN LA IMPLEMENTACION DE LA PLATAFORMA ARTICULADA PARA EL DESARROLLO INTEGRAL TERRITORIAL EN CUBA (PADIT)",8,Donor Countries,2022
Cuba,307k,,PADIT SANCTI SPIRITUS,8,Donor Countries,2022
Cuba,128k,,PADIT HABANA,8,Donor Countries,2022
Cuba,324k,,PADIT Las Tunas,8,Donor Countries,2022
Dominican Republic,68k,,Sellos de Igualdad de Genero,8,Donor Countries,2022
Dominican Republic,753k,,Fortalecimiento de la Política de Competitividad,8,Donor Countries,2022
Dominican Republic,368k,,Accelerator Lab - Dominican Republic,8,Donor Countries,2022
Dominican Republic,58k,,Inclusión social de las personas con discapacidad,8,Donor Countries,2022
Guinea-Bissau,500k,,EU-GNB-2030 Building Forward Better in GB,8,Donor Countries,2022
Papua New Guinea,1M,,Investing in Coral Reefs & the Blue Economy: BE-EIF,8,Donor Countries,2022
Samoa,46,,Samoa OneUnitedNation Youth Employment Programme(1UNYEP,8,Donor Countries,2022
Timor-Leste,341k,,Integrated National Financing Framework (INFF) and Finan,8,Donor Countries,2022
Timor-Leste,95k,,Supporting Flood Response and Recovery project,8,Donor Countries,2022
Timor-Leste,371k,,Supporting Entrepreneurship and Employment for Women and,8,Donor Countries,2022
Timor-Leste,516k,,Digitalized Educ System - ICT Skills iSKY-TL,8,Donor Countries,2022
Trinidad and Tobago,142k,,PVE Youth Empower and Strength,8,Donor Countries,2022
Bahrain,398k,,Bahrain Unit for Sustainable Energy,9,Donor Countries,2022
Bahrain,52k,,State of Arab Cities Report 2020,9,Donor Countries,2022
Cuba,472k,,BIOENERGIA - CLEAN ENERGY TECHNOLOGIES FOR THE RURAL AREAS IN CUBA,9,Donor Countries,2022
Cuba,1M,,Resiliencia Energetica post Irma,9,Donor Countries,2022
Cuba,311k,,FINANCING MECHANISMS IN SUSTAINABLE LAND MANAGEMENT,9,Donor Countries,2022
Cuba,130k,,Fortalecimiento Institucional CUBAENERGIA - OTOZ,9,Donor Countries,2022
Cuba,126k,,ELIMINACION HCFC FASE II,9,Donor Countries,2022
Dominican Republic,455k,,Fomento PyMES RDigital,9,Donor Countries,2022
